LTU017PIAPRG300',2009-12-07-16:00:00'
734209.041666667 , -17.66
734209.083333333 , -17.66
734209.125 , -17.64
734209.166666667 , -17.64
734209.208333333 , -17.63
734209.25 , -17.63
734209.291666667 , -17.62
734209.333333333 , -17.62
734209.375 , -17.62
734209.416666667 , -17.63
734209.458333333 , -17.63
734209.5 , -17.66
734209.541666667 , -17.68
734209.583333333 , -17.71
734209.625 , -17.72
734209.666666667 , -17.73
734209.708333333 , -17.73
734209.75 , -17.73
734209.791666667 , -17.73
734209.833333333 , -17.73
734209.875 , -17.72
734209.916666667 , -17.72
734209.958333333 , -17.71
734210.041666667 , -17.71
734210.083333333 , -17.69
734210.125 , -17.69
734210.166666667 , -17.69
734210.208333333 , -17.69
734210.25 , -17.69
734210.291666667 , -17.68
734210.333333333 , -17.68
734210.375 , -17.67
734210.416666667 , -17.67
734210.458333333 , -17.69
734210.5 , -17.72
734210.541666667 , -17.74
734210.583333333 , -17.76
734210.625 , -17.78
734210.666666667 , -17.78
734210.708333333 , -17.79
734210.75 , -17.79
734210.791666667 , -17.79
734210.833333333 , -17.81
734210.875 , -17.79
734210.916666667 , -17.78
734210.958333333 , -17.79
734211.041666667 , -17.77
734211.083333333 , -17.78
734211.125 , -17.76
734211.166666667 , -17.76
734211.208333333 , -17.74
734211.25 , -17.76
734211.291666667 , -17.73
734211.333333333 , -17.74
734211.375 , -17.73
734211.416666667 , -17.73
734211.458333333 , -17.74
734211.5 , -17.78
734211.541666667 , -17.79
734211.583333333 , -17.82
734211.625 , -17.84
734211.666666667 , -17.84
734211.708333333 , -17.87
734211.75 , -17.88
734211.791666667 , -17.88
734211.833333333 , -17.87
734211.875 , -17.87
734211.916666667 , -17.86
734211.958333333 , -17.84
734212.041666667 , -17.84
734212.083333333 , -17.83
734212.125 , -17.83
734212.166666667 , -17.82
734212.208333333 , -17.82
734212.25 , -17.82
734212.291666667 , -17.81
734212.333333333 , -17.82
734212.375 , -17.81
734212.416666667 , -17.81
734212.458333333 , -17.83
734212.5 , -17.87
734212.541666667 , -17.89
734212.583333333 , -17.93
734212.625 , -17.94
734212.666666667 , -17.97
734212.708333333 , -17.98
734212.75 , -17.98
734212.791666667 , -17.98
734212.833333333 , -17.99
734212.875 , -17.98
734212.916666667 , -17.98
734212.958333333 , -17.97
734213.041666667 , -17.95
734213.083333333 , -17.95
734213.125 , -17.94
734213.166666667 , -17.92
734213.208333333 , -17.93
734213.25 , -17.92
734213.291666667 , -17.92
734213.333333333 , -17.92
734213.375 , -17.9
734213.416666667 , -17.9
734213.458333333 , -17.92
734213.5 , -17.95
734213.541666667 , -17.99
734213.583333333 , -18.02
734213.625 , -18.05
734213.666666667 , -18.07
734213.708333333 , -18.07
734213.75 , -18.07
734213.791666667 , -18.07
734213.833333333 , -18.07
734213.875 , -18.07
734213.916666667 , -18.05
734213.958333333 , -18.04
734214.041666667 , -18.03
734214.083333333 , -18.03
734214.125 , -18.02
734214.166666667 , -18.02
734214.208333333 , -18.02
734214.25 , -17.99
734214.291666667 , -17.99
734214.333333333 , -17.99
734214.375 , -17.99
734214.416666667 , -17.99
734214.458333333 , -17.99
734214.5 , -17.99
734214.541666667 , -18.04
734214.583333333 , -18.05
734214.625 , -18.08
734214.666666667 , -18.09
734214.708333333 , -18.09
734214.75 , -18.1
734214.791666667 , -18.12
734214.833333333 , -18.12
734214.875 , -18.1
734214.916666667 , -18.12
734214.958333333 , -18.1
734215.041666667 , -18.09
734215.083333333 , -18.08
734215.125 , -18.09
734215.166666667 , -18.08
734215.208333333 , -18.09
734215.25 , -18.08
734215.291666667 , -18.08
734215.333333333 , -18.08
734215.375 , -18.08
734215.416666667 , -18.09
734215.458333333 , -18.12
734215.5 , -18.14
734215.541666667 , -18.18
734215.583333333 , -18.19
734215.625 , -18.24
734215.666666667 , -18.23
734215.708333333 , -18.23
734215.75 , -18.24
734215.791666667 , -18.24
734215.833333333 , -18.23
734215.875 , -18.23
734215.916666667 , -18.22
734215.958333333 , -18.2
734216.041666667 , -18.19
734216.083333333 , -18.18
734216.125 , -18.18
734216.166666667 , -18.18
734216.208333333 , -18.17
734216.25 , -18.15
734216.291666667 , -18.14
734216.333333333 , -18.14
734216.375 , -18.14
734216.416666667 , -18.14
734216.458333333 , -18.15
734216.5 , -18.15
734216.541666667 , -18.17
734216.583333333 , -18.17
734216.625 , -18.19
734216.666666667 , -18.2
734216.708333333 , -18.19
734216.75 , -18.2
734216.791666667 , -18.19
734216.833333333 , -18.19
734216.875 , -18.19
734216.916666667 , -18.19
734216.958333333 , -18.19
734217.041666667 , -18.19
734217.083333333 , -18.18
734217.125 , -18.19
734217.166666667 , -18.18
734217.208333333 , -18.18
734217.25 , -18.18
734217.291666667 , -18.17
734217.333333333 , -18.17
734217.375 , -18.17
734217.416666667 , -18.15
734217.458333333 , -18.18
734217.5 , -18.19
734217.541666667 , -18.23
734217.583333333 , -18.24
734217.625 , -18.24
734217.666666667 , -18.24
734217.708333333 , -18.24
734217.75 , -18.23
734217.791666667 , -18.23
734217.833333333 , -18.2
734217.875 , -18.2
734217.916666667 , -18.22
734217.958333333 , -18.19
734218.041666667 , -18.18
734218.083333333 , -18.17
734218.125 , -18.15
734218.166666667 , -18.15
734218.208333333 , -18.13
734218.25 , -18.13
734218.291666667 , -18.12
734218.333333333 , -18.12
734218.375 , -18.1
734218.416666667 , -18.1
734218.458333333 , -18.12
734218.5 , -18.14
734218.541666667 , -18.17
734218.583333333 , -18.19
734218.625 , -18.18
734218.666666667 , -18.2
734218.708333333 , -18.19
734218.75 , -18.19
734218.791666667 , -18.2
734218.833333333 , -18.19
734218.875 , -18.18
734218.916666667 , -18.18
734218.958333333 , -18.17
734219.041666667 , -18.15
734219.083333333 , -18.15
734219.125 , -18.15
734219.166666667 , -18.13
734219.208333333 , -18.13
734219.25 , -18.13
734219.291666667 , -18.12
734219.333333333 , -18.12
734219.375 , -18.12
734219.416666667 , -18.12
734219.458333333 , -18.13
734219.5 , -18.15
734219.541666667 , -18.18
734219.583333333 , -18.17
734219.625 , -18.19
734219.666666667 , -18.2
734219.708333333 , -18.14
734219.75 , -18.25
734219.791666667 , -18.25
734219.833333333 , -18.27
734219.875 , -18.27
734219.916666667 , -18.25
734219.958333333 , -18.24
734220.041666667 , -18.22
734220.083333333 , -18.23
734220.125 , -18.22
734220.166666667 , -18.22
734220.208333333 , -18.2
734220.25 , -18.19
734220.291666667 , -18.18
734220.333333333 , -18.18
734220.375 , -18.15
734220.416666667 , -18.13
734220.458333333 , -18.1
734220.5 , -18.04
734220.541666667 , -18.05
734220.583333333 , -18.07
734220.625 , -18.05
734220.666666667 , -18.04
734220.708333333 , -18.05
734220.75 , -18.08
734220.791666667 , -18.1
734220.833333333 , -18.12
734220.875 , -18.13
734220.916666667 , -18.12
734220.958333333 , -18.09
734221.041666667 , -18.1
734221.083333333 , -18.1
734221.125 , -18.1
734221.166666667 , -18.09
734221.208333333 , -18.09
734221.25 , -18.08
734221.291666667 , -18.05
734221.333333333 , -17.95
734221.375 , -17.94
734221.416666667 , -17.97
734221.458333333 , -17.97
734221.5 , -17.95
734221.541666667 , -18
734221.583333333 , -18.03
734221.625 , -18.14
734221.666666667 , -17.97
734221.708333333 , -18.02
734221.75 , -18.1
734221.791666667 , -18.12
734221.833333333 , -18.12
734221.875 , -18.12
734221.916666667 , -18.12
734221.958333333 , -18.09
734222.041666667 , -18.08
734222.083333333 , -18.07
734222.125 , -18.05
734222.166666667 , -18.05
734222.208333333 , -18.05
734222.25 , -18.04
734222.291666667 , -18.03
734222.333333333 , -18.03
734222.375 , -18.02
734222.416666667 , -18
734222.458333333 , -18.03
734222.5 , -18.03
734222.541666667 , -18.09
734222.583333333 , -18.1
734222.625 , -18.09
734222.666666667 , -18.12
734222.708333333 , -18.1
734222.75 , -18.12
734222.791666667 , -18.12
734222.833333333 , -18.09
734222.875 , -18.07
734222.916666667 , -18.05
734222.958333333 , -18.12
734223.041666667 , -18.09
734223.083333333 , -18.1
734223.125 , -18.08
734223.166666667 , -18.05
