'LTU016PIAPE910',2003-01-08-00:00:00'
733398.875,1.81
733398.9167,1.81
733398.9583,1.81
733399,1.81
733399.0417,1.81
733399.0833,1.81
733399.125,1.82
733399.1667,1.82
733399.2083,1.82
733399.25,1.82
733399.2917,1.82
733399.3333,1.82
733399.375,1.82
733399.4167,1.82
733399.4583,1.82
733399.5,1.82
733399.5417,1.82
733399.5833,1.83
733399.625,1.83
733399.6667,1.83
733399.7083,1.83
733399.75,1.83
733399.7917,1.83
733399.8333,1.84
733399.875,1.84
733399.9167,1.84
733399.9583,1.86
733400,1.86
733400.0417,1.86
733400.0833,1.87
733400.125,1.87
733400.1667,1.87
733400.2083,1.87
733400.25,1.87
733400.2917,1.87
733400.3333,1.87
733400.375,1.86
733400.4167,1.86
733400.4583,1.86
733400.5,1.86
733400.5417,1.87
733400.5833,1.87
733400.625,1.87
733400.6667,1.87
733400.7083,1.87
733400.75,1.87
733400.7917,1.87
733400.8333,1.87
733400.875,1.87
733400.9167,1.87
733400.9583,1.88
733401,1.88
733401.0417,1.88
733401.0833,1.88
733401.125,1.88
733401.1667,1.9
733401.2083,1.9
733401.25,1.9
733401.2917,1.9
733401.3333,1.9
733401.375,1.88
733401.4167,1.9
733401.4583,1.9
733401.5,1.88
733401.5417,1.88
733401.5833,1.9
733401.625,1.9
733401.6667,1.9
733401.7083,1.9
733401.75,1.9
733401.7917,1.9
733401.8333,1.9
733401.875,1.9
733401.9167,1.9
733401.9583,1.9
733402,1.9
733402.0417,1.9
733402.0833,1.9
733402.125,1.9
733402.1667,1.9
733402.2083,1.91
733402.25,1.9
733402.2917,1.9
733402.3333,1.9
733402.375,1.9
733402.4167,1.9
733402.4583,1.9
733402.5,1.9
733402.5417,1.9
733402.5833,1.9
733402.625,1.91
733402.6667,1.91
733402.7083,1.91
733402.75,1.91
733402.7917,1.92
733402.8333,1.91
733402.875,1.92
733402.9167,1.91
733402.9583,1.91
733403,1.92
733403.0417,1.92
