'CLASS01',2007-08-22-00:00:00'
733298.6875,18.49999999
733298.7083,22.49999999
733298.7292,22.25000001
733298.75,17.75000002
733298.7708,13.875
733298.7917,10.625
733298.8125,8.250000004
733298.8333,6.750000004
733298.8542,6.249999999
733298.875,6.749999998
733298.8958,6.375000002
733298.9167,5.124999998
733298.9375,3.875000003
733298.9583,2.625000003
733298.9792,1.500000001
733299,0.500000004
733299.0208,0
733299.0417,0
733299.0625,0.124999999
733299.0833,0.374999999
733299.1042,0.375
733299.125,0.125000001
733299.1458,0.249999999
733299.1667,0.750000001
733299.1875,1.874999995
733299.2083,3.624999995
733299.2292,9.749999985
733299.25,20.24999996
733299.2708,30.99999998
733299.2917,42.00000002
733299.3125,40.75000004
733299.3333,27.25000004
733299.3542,17.62500001
733299.375,11.87500002
733299.3958,8.875
733299.4167,8.625
733299.4375,9.124999997
733299.4583,10.375
733299.4792,11.75
733299.5,13.24999999
733299.5208,13.25
733299.5417,11.75
733299.5625,12.49999999
733299.5833,15.49999999
733299.6042,16.5
733299.625,15.5
733299.6458,15.25
733299.6667,15.75
733299.6875,16.875
733299.7083,18.625
733299.7292,16.37500001
733299.75,10.12500003
733299.7708,6.750000001
733299.7917,6.249999999
733299.8125,5.750000001
733299.8333,5.250000001
733299.8542,4.375000002
733299.875,3.125000005
733299.8958,2.5
733299.9167,2.5
733299.9375,2.000000003
733299.9583,1.000000003
733299.9792,0.625
733300,0.874999999
733300.0208,1
733300.0417,1
733300.0625,0.875000001
733300.0833,0.625000001
733300.1042,0.375
733300.125,0.125000001
733300.1458,0.374999999
733300.1667,1.125000001
733300.1875,1.5
733300.2083,1.5
733300.2292,3.624999994
733300.25,7.874999982
733300.2708,10.875
733300.2917,12.625
733300.3125,12.25000001
733300.3333,9.750000007
733300.3542,9.124999998
733300.375,10.37499999
733300.3958,11.5
733300.4167,12.5
733300.4375,13.75
733300.4583,15.25
733300.4792,15.625
733300.5,14.875
733300.5208,14
733300.5417,13
733300.5625,13.25
733300.5833,14.75
733300.6042,15.875
733300.625,16.625
733300.6458,16.25
733300.6667,14.75
733300.6875,13.625
733300.7083,12.875
733300.7292,12.75
733300.75,13.25
733300.7708,12.625
733300.7917,10.875
733300.8125,8.375000009
733300.8333,5.125000009
733300.8542,3.125000001
733300.875,2.375000003
733300.8958,2.874999998
733300.9167,4.625000002
733300.9375,4.375000006
733300.9583,2.125000006
733300.9792,1.125
733301,1.374999999
733301.0208,1.125000001
733301.0417,0.374999999
733301.0625,0
733301.0833,0
733301.1042,0
733301.125,0
733301.1458,0.125
733301.1667,0.375
733301.1875,0.5
733301.2083,0.5
733301.2292,1.374999998
733301.25,3.124999993
733301.2708,4.249999999
733301.2917,4.750000001
733301.3125,5.499999997
733301.3333,6.499999997
733301.3542,9.999999992
733301.375,15.99999997
733301.3958,22.49999999
733301.4167,29.50000001
733301.4375,34.49999999
733301.4583,37.49999999
733301.4792,34.12500001
733301.5,24.37500004
733301.5208,20.125
733301.5417,21.375
733301.5625,19.25000002
733301.5833,13.75000002
733301.6042,11.375
733301.625,12.125
733301.6458,13
733301.6667,14
733301.6875,14.125
733301.7083,13.375
733301.7292,12.125
733301.75,10.37500001
733301.7708,8.000000004
733301.7917,4.999999996
733301.8125,3.125000002
733301.8333,2.375000002
733301.8542,2
733301.875,2
733301.8958,2
733301.9167,2
733301.9375,1.750000001
733301.9583,1.250000001
733301.9792,1
733302,1
733302.0208,1
733302.0417,1
733302.0625,1
733302.0833,1
733302.1042,0.750000001
733302.125,0.250000002
733302.1458,0.249999999
733302.1667,0.750000001
733302.1875,1.374999998
733302.2083,2.124999998
733302.2292,8.124999984
733302.25,19.37499995
733302.2708,30.12499999
733302.2917,40.37500001
733302.3125,39.75000003
733302.3333,28.25000003
733302.3542,19.87500001
